URL,Lang,Material,RecordNumb,RepCategory,ValidityArea
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362F',RecordNumb='450621',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,AF5362F,450621,DISC2,ZCAL
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362F',RecordNumb='451907',Lang='EN',RepCategory='MSDS',ValidityArea='CA')/getPDF",EN,AF5362F,451907,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362F',RecordNumb='450628',Lang='FR',RepCategory='MSDS',ValidityArea='CA')/getPDF",FR,AF5362F,450628,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362F',RecordNumb='450626',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5362F,450626,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362FC',RecordNumb='450621',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,AF5362FC,450621,DISC2,ZCAL
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362FC',RecordNumb='451907',Lang='EN',RepCategory='MSDS',ValidityArea='CA')/getPDF",EN,AF5362FC,451907,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362FC',RecordNumb='450628',Lang='FR',RepCategory='MSDS',ValidityArea='CA')/getPDF",FR,AF5362FC,450628,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362FC',RecordNumb='450626',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5362FC,450626,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362T',RecordNumb='450621',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,AF5362T,450621,DISC2,ZCAL
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362T',RecordNumb='451907',Lang='EN',RepCategory='MSDS',ValidityArea='CA')/getPDF",EN,AF5362T,451907,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362T',RecordNumb='450628',Lang='FR',RepCategory='MSDS',ValidityArea='CA')/getPDF",FR,AF5362T,450628,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362T',RecordNumb='450626',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5362T,450626,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5363K',RecordNumb='449445',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5363K,449445,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5367B',RecordNumb='450684',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5367B,450684,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5367E',RecordNumb='450684',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5367E,450684,MSDS,US
